fecha,tweet,candidato,retweets,replies,likes,quotes,impresiones,valencia,emocion,postura,tono,amabilidad,legibilidad,controversialidad,informatividad,sensitivo
2023-05-16,"La magistrada presidenta del TSE, Irma Elizabeth Palencia, aseguró que analizarán ""la desagradable irrupción"" de Carlos Pineda y tomar una decisión en pleno. Esto dijo:  https://t.co/uaeTdiBp2d",carlos pineda,0,2,6,0,1852,negativo,enojo,desaprobación,serio,0.5,1.0,0.7,0.8,False
2023-05-16,"BALDIZON celebrando que CARLOS PINEDA no va participar en las elecciones, por transas . https://t.co/W0ztkrbwTV",carlos pineda,0,0,2,0,399,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.8,False
2023-05-16,"Expulsión de candidato fue un acto premeditado por él y su gente para hacerse publicidad y ganar notoriedad, ganar difusión mediática parece ser su método que por muy ridículo logra su objetivo 👉 https://t.co/rew8kP70lY https://t.co/h05FCLetNu",carlos pineda,2,0,6,0,132,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.7,0.9,False
2023-05-16,"Cada vez más evidente la tensión alrededor de la candidatura de Carlos Pineda. 

Que lo quieran sacar de manera coyuntural e interesada es muy obvio.

Pero deberíamos de consentir que participara si es que hubieran cometido todas esas violaciones a la LEPP?

Me cuesta responder",carlos pineda,0,1,12,0,842,negativo,enojo,desconfianza,escéptico,0.5,0.8,0.7,0.9,False
2023-05-16,"Carlos Pineda  el candidato con más posibilidades de ganar la presidencia de Guatemala
https://t.co/5Z3G4K8SQu",carlos pineda,0,0,0,0,56,positivo,esperanza,aprobación,informativo,1.0,1.0,0.2,0.8,False
2023-05-16,¡Echa un vistazo al vídeo de Carlos Pineda! #TikTok https://t.co/0mMyhoky2Q ya basta de servir a las artimañas de los Baldizon,carlos pineda,0,0,0,0,44,negativo,enojo,desaprobación,agresivo,0.5,1.0,0.7,0.6,False
2023-05-16,"#GUATEVOTA2023 | La magistrada presidenta del TSE, Irma Palencia, le indicó a Pineda que la reunión no era para presidenciables

#Elecciones2023 #EleccionesGT #EUElecciones2023

https://t.co/9fcKvjnS3u",carlos pineda,0,0,2,0,129,negativo,enojo,desaprobación,informativo,0.5,1.0,0.3,0.8,False
2023-05-16,"El presidenciable Carlos Pineda fue expulsado de la reunión entre magistrados del TSE y fiscales, a donde llegó según dijo, para dar instrucciones al fiscal de su partido político, para tratar el tema del proceso legal en su contra.
https://t.co/Qey0GtrdBb",carlos pineda,0,1,2,1,666,negativo,enojo,desaprobación,informativo,0.5,0.8,0.7,0.9,False
2023-05-17,"En #TePizamos te contamos del Exp. No. 11-20582-CR-MARTINEZ  que esta bajo reserva por el Departamento del Tesoro del Gobierno de los EUA, donde Marllory Chacon afirma que Carlos Pineda  prestaba sus transportes para el traslado de droga.

¿Ahora sabes porqué no tiene visa? https://t.co/GqSpgrF1VO",carlos pineda,55,26,66,2,2561,negativo,enojo,desaprobación,informativo,0.5,0.8,0.7,0.9,False
2023-05-17,"Si usted ha leído o escuchado a Carlos Pineda,  Cree que sería capaz de usar la represión sistemática contra sus oponentes políticos y contra cualquiera q contradiga su voluntad?

Cree q puedan continuar viviendo en Guatemala, o les tocará vivir en el exilio?

RT = Si

Like= No",carlos pineda,1,0,0,0,118,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.9,False
2023-05-17,"CONGCOOP, DIÁLOGOS, DEMOS, ICEFI, ASIES. Chairos al rescate de Carlos “el prepotente” Pineda. 

Nota: Pase a votar en la encuesta ligada en las respuestas. https://t.co/Vk5PqnUYZu",carlos pineda,0,1,0,0,74,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.7,False
2023-05-17,Mi papa dijo que Carlos Pineda es buena opción ayuda 💀,carlos pineda,0,5,0,0,658,positivo,esperanza,aprobación,informativo,0.8,1.0,0.2,0.8,False
2023-05-17,Alguien que nos confirme si el #Temblorgt hizo llorar también a Carlos Pineda,carlos pineda,1,0,5,0,675,neutro,otro,indiferencia,informativo,0.8,1.0,0.2,0.8,False
2023-05-17,Ojalá se le haya caído una pared encima a Carlos Pineda 🤞🏻🤞🏻,carlos pineda,0,0,1,0,212,negativo,enojo,desaprobación,agresivo,0.2,1.0,0.9,0.7,False
2023-05-17,Les da mas miedo un temblor que votar por Carlos Pineda.,carlos pineda,1,0,4,0,204,negativo,miedo,desaprobación,informativo,0.5,1.0,0.7,0.8,False
2023-05-17,"Se valió de un personaje humilde para levantar la figura de su amigo Carlos Pineda. Comercializó a Mechito y lo usó para promover su imagen, luego de abandonar el partido de Manuel Baldizón. Este es Efraín Orozco, el vice presidenciable de Carlos Pineda. https://t.co/Pastim8iki https://t.co/cK7zDRAWl9",carlos pineda,0,0,0,0,617,negativo,disgusto,desaprobación,informativo,0.5,0.8,0.7,0.9,False
2023-05-17,"#NuestroPoderDeElegir 🗳️| El candidato presidencial Carlos Pineda contó sus gustos musicales en #NuestroDiario.

Escucha el podcast aquí: https://t.co/mYUspSE0Ga https://t.co/xT40upENb0",carlos pineda,0,1,5,1,2300,neutro,otro,indiferencia,informativo,0.8,1.0,0.2,0.9,False
2023-05-17,Por favor que persona tan baja y repugnante es Carlos Pineda.,carlos pineda,0,0,0,0,129,negativo,disgusto,desaprobación,agresivo,0.2,1.0,0.8,0.5,False
2023-05-18,"Sancionaron a Carlos Pineda, pero tranquilos, de las elecciones solo sacan a los candidatos indígenas https://t.co/KJ8FPc0hai",carlos pineda,0,0,0,0,154,negativo,enojo,desaprobación,irónico,0.5,0.8,0.7,0.8,False
2023-05-18,"Carlos Pineda es la definición de privilegio blanco, atropella y mata a un transeúnte en El Estor, insulta periodistas por ser mujer, invade donde trabajan magistrados y todavía lo dejan. Thelma Cabrera presentó 4 finiquitos distintos y no les pareció, son unos hipócritas.",carlos pineda,0,0,0,0,135,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.9,False
2023-05-18,"Mi papá dijo que iba a votar por Carlos Pineda así que, recomienden asilos de mala muerte gracias.",carlos pineda,0,0,0,0,103,negativo,desagrado,desaprobación,irónico,0.4,0.9,0.7,0.6,False
2023-05-18,"El tipo ese viene por otros negocios 🙂

https://t.co/qrHC4Drz6s https://t.co/dEToWBdmwx",carlos pineda,0,0,0,0,88,negativo,enojo,desaprobación,agresivo,0.2,1.0,0.8,0.2,False
2023-05-18,"Que buena noticia, Adiós Carlos Pineda #NoLeToca #EleccionesGT https://t.co/yno6w0sWZg",carlos pineda,0,0,1,0,407,positivo,felicidad,desaprobación,humorístico,0.8,1.0,0.2,0.5,False
2023-05-18,Creo que van a tener que cambiarle el nombre al partido de Carlos Pineda: Ruina ciudadana,carlos pineda,0,0,0,0,69,negativo,disgusto,desaprobación,agresivo,0.2,1.0,0.8,0.9,False
2023-05-18,Carlos Pineda tiene la misma vibra que Mazariegos Alv,carlos pineda,0,0,0,0,182,neutro,otro,indiferencia,informativo,0.8,1.0,0.2,0.6,False
2023-05-18,No votaremos por carlos Pineda es una escoria de persona https://t.co/o9r188Ee5G,carlos pineda,0,0,0,0,17,negativo,enojo,desaprobación,agresivo,0.2,1.0,0.8,0.5,False
2023-05-18,"Carlos Pineda entró a una reunión de magistrados del TRIBUNAL Supremo ELECTORAL como si fuera su jefe. El procu no hizo nada, ahí se ve la corrupción. A uno le ponen una multa a otro le rechazan el binomio.",carlos pineda,0,0,0,0,80,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.7,0.9,False
2023-05-18,Sandra Torres #laCAGO con Badabun jajaja #Elecciones2023 con el TSE de mierda!  y candidatos que bien bailan!  incluído Carlos Pineda,carlos pineda,0,0,0,0,244,negativo,enojo,desaprobación,irónico,0.2,0.8,0.9,0.7,False
2023-05-19,"El partido registra 219 candidaturas entre su binomio presidencial, diputados al Congreso, Parlamento Centroamericano y alcaldes. https://t.co/55DJs3bG3L",carlos pineda,2,3,12,0,10279,neutro,otro,informativo,serio,0.8,1.0,0.2,1.0,False
2023-05-19,"#AHORA | El candidato presidencial del partido Prosperidad Ciudadana, Carlos Pineda, informó que accionará legalmente en la Corte de Constitucionalidad, para poder continuar participando en las elecciones generales. La declaración la da luego que una sala judicial  (1/2) https://t.co/V72FT74ix4",carlos pineda,2,2,14,1,3164,neutro,otro,esperanza,informativo,0.8,0.9,0.4,0.9,False
2023-05-19,"Las posibles hipótesis:
1. Con esto le suben el rating a Carlos Pineda 
2. Lo están extorsionando para que suelte billete al TSE o a las Cortes o directamente a Giammattei 
3. Logró más el dinero aportado por una de las doñas. https://t.co/8FTPrdXO0h",carlos pineda,2,1,10,0,358,negativo,desconfianza,desaprobación,escéptico,0.5,0.8,0.7,0.9,False
2023-05-19,"A quien hay que arrobar para decirle la asquerosa situación qué pasó con Carlos Pineda, es decir que Baldizón aún tiene poder acá en Guate… Un criminal confeso, mi loco acá se va convertir en un Nicaragua.",carlos pineda,0,1,0,0,214,negativo,enojo,desaprobación,agresivo,0.2,0.6,0.8,0.9,False
2023-05-19,Se echaron a carlos Pineda de las elecciones 😳,carlos pineda,1,0,1,0,220,negativo,enojo,desaprobación,informativo,0.5,1.0,0.7,0.8,False
2023-05-19,"Carlos Pineda queda fuera de la elección; No permitamos que los mismos nos quieran volver a gobernar.

#amilcarriverapresidente https://t.co/RTSkjvGX21",carlos pineda,23,67,78,5,12505,negativo,enojo,desaprobación,agresivo,0.5,1.0,0.5,0.8,False
2023-05-19,"Con lo de Carlos Pineda espero que todos la tengan más clara y se alejen de Sandra Torres, Zury Rios, Edmond Mulet y Conde. 
Les despejaron el camino, por algo será. Piensa mal y acertarás. Aunque sean de derecha, hay otros cómo Reyes y Lam, que merecerían más su atención.",carlos pineda,0,0,0,0,123,negativo,desconfianza,desaprobación,asertivo,0.5,1.0,0.7,0.8,False
2023-05-19,Dejaron sin punta al ✏️ de Carlos Pineda y después dejarán sin marihuana al viejito Mulet 😏,carlos pineda,0,0,0,0,39,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.7,0.6,False
2023-05-19,"Bueno don Carlos Pineda váyase por dónde vino.🤣🤣🤣🤣

Véanlo hasta el final ⬇️⬇️ https://t.co/NXjEHsgRGM",carlos pineda,7,8,35,1,1602,negativo,humorístico,desaprobación,humorístico,0.8,1.0,0.5,0.2,False
2023-05-19,¡Echa un vistazo al vídeo de Carlos Pineda! #TikTok https://t.co/wGTEXo44Vr @CC_Guatemala van a provocar un estallido social!!!  hagan las cosas como tienen que ser,carlos pineda,0,0,0,0,72,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.6,False
2023-05-15,"A Sandra Torres le deberían de penalizar con el plan de repitencia y sacarla de la vida política, es más necia que limpiavidrios de semáforo.",sandra torres,0,0,0,0,38,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.8,False
2023-05-15,"Sandra Torres es capaz de todo por mantener el poder. Recibió dinero sucio, se vendió con Alejandro Giammattei para evitar que cancelaran su partido, incluyó a señalados de corrupción y participó de una red de captación de fondos ilícitos. https://t.co/4J2pX1BSx6",sandra torres,0,1,0,0,335,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.9,False
2023-05-15,Sandra Torres anda regalando zapatos a cambio de votos 😡 esto tiene que parar https://t.co/8OltsAmeiq,sandra torres,0,0,5,0,420,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.8,False
2023-05-15,Y en donde están los ladrones como Sandra torres. Baldizon. Los arzu. Portillo. Los ríos montt. Los jimmy morales. Los Giammattei y tantos diputados. Que le han robado millones  al pueblo de guatemala. https://t.co/KVngH40GF9,sandra torres,0,0,0,0,234,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.7,0.9,False
2023-05-15,"#AlertaPopulista 🚨

¿Sandra Torres, sabe cuáles son derechos humanos?

Te presentamos el episodio número 5 de nuestra sección ""El Populista de la Semana"" con @PalmieriWaelti

#EleccionesGuatemala #Elecciones2023 #Guatemala #EleccionesGT #Populistas #Facts #Noticias https://t.co/MeoijdOE12",sandra torres,6,9,17,1,3186,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.8,False
2023-05-15,La CC dejó en firme la inscripción del binomio presidencial de la UNE conformado por Sandra Torres y Romeo Estuardo Guerra Lemus. 🔽 https://t.co/yG7AEiXV1Y,sandra torres,0,0,0,0,129,neutro,otro,información,informativo,0.8,1.0,0.2,1.0,False
2023-05-15,"🤔🤣
¿La hija de Sandra Torres hablando de izquierdosos?
¿WTF?!!! https://t.co/Jd4ZaiQ9K3 https://t.co/qk4vZo50aD",sandra torres,0,0,2,0,180,negativo,enojo,desaprobación,irónico,0.2,1.0,0.8,0.6,True
2023-05-15,"Y sí, la oposición debe implementar y hablar de programas sociales, porque en Guatemala hay tanta pobreza que las bolsas de alimentos que ofrece Sandra Torres a parte de ser una campaña electoral si es de utilidad para personas de escasos recursos.",sandra torres,1,2,7,0,307,positivo,esperanza,aprobación,informativo,0.8,0.9,0.3,0.9,False
2023-05-15,Gente aprovechándose de Guatemala 😡😡. Yerno e hija de Sandra Torres. https://t.co/eXS6Xwuwvl,sandra torres,1,0,0,0,45,negativo,enojo,desaprobación,agresivo,0.2,1.0,0.8,0.8,False
2023-05-15,Algunos dicen que como Sandra Torres ya tiene dinero ya no es de izquierda 😱 como si Pablo Escobar cuando ya “tenía dinero” dejo de ser delincuente.,sandra torres,12,6,54,1,1517,negativo,enojo,desaprobación,agresivo,0.4,0.8,0.9,0.8,False
2023-05-16,"LOS PRESIDENCIABLES | Sandra Torres busca por tercera ocasión ser la presidenta del país con el partido Une. Participa en una entrevista con el director general de La Voz de Xela, César Pérez Méndez: https://t.co/ZedBltGwvV
⌨️ La Voz de Xela",sandra torres,0,1,8,0,960,neutro,otro,esperanza,informativo,1.0,1.0,0.2,1.0,False
2023-05-16,"""La mujer, por ciencia y/o comprobado es menos corruptible."" Ya saben amigos, su voto en estas elecciones debe ir para Sandra Torres o Zury, está comprobado que son menos corruptibles. https://t.co/eCUTjZvKO4",sandra torres,0,1,0,0,51,positivo,esperanza,aprobación,informativo,0.8,0.9,0.7,0.9,False
2023-05-16,"Quisiera tener el cuero de Zury Ríos, los sentimientos de Sandra Torres y el cinismo de los Arzú para hacer verga a todos los pisados que me han 💔😪.",sandra torres,1,12,72,1,3590,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.7,False
2023-05-16,"""Sandra Torres mi futura presidente"" https://t.co/PuAoB6RnRp",sandra torres,0,0,0,0,38,positivo,esperanza,aprobación,serio,1.0,1.0,0.0,0.0,False
2023-05-16,HUMOR SANDRA TORRES https://t.co/Drlk7Zyzj5,sandra torres,0,11,1,0,331,positivo,humorístico,indiferencia,humorístico,0.8,1.0,0.2,0.2,False
2023-05-16,"Que oso Villacorta y los flans de VOS salir a despotricar contra No-Ficción.

Seamos serios, son  en su mayoría ex UNE y fueron grandes aliados de Sandra Torres y su corrupción. https://t.co/wEa6PQBR1m https://t.co/77lJ9nMEAE",sandra torres,17,26,79,2,8770,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.9,False
2023-05-16,"Que oso Villacorta y los flans de VOS salir a despotricar contra No-Ficción.

Seamos serios, son  en su mayoría ex UNE y fueron grandes aliados de Sandra Torres y su corrupción, en política ser santo, es un sacrilegio. https://t.co/daz5RHfqJU https://t.co/0Lt6XQ4UAj",sandra torres,0,0,1,0,51,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.8,False
2023-05-16,"🚦Hoy arrancamos A FONDO con una nota a:
✅ Sandra Torres (Presidenta ONG Bien Argentino) Por la semana de la educación vial 🚘🚍

📡 Máxima FM 101.9
🌐 https://t.co/bXumcLFhWx

#neuquencapital
#noticias #neuquen #maximafm1019  #educacionvial #sandratorres #bienargentino #ong https://t.co/yQVyGiTxlk",sandra torres,0,0,0,0,30,neutro,otro,otro,informativo,0.8,1.0,0.2,0.9,False
2023-05-16,"De esta forma, 
—el yerno de Sandra Torres y presidenciable RUDY GUZMÁN, acabara con las maras en las escuelas. 

Cantinflas #OnFire https://t.co/Gl0uQejrRf",sandra torres,21,43,60,3,8804,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.7,False
2023-05-17,Esa Sandra Torres ya compró a los periodistas a la televisión y ahorita A BADABUN mi webo 😅,sandra torres,0,0,0,0,293,negativo,enojo,desaprobación,agresivo,0.2,0.6,0.8,0.5,False
2023-05-17,"Pero si Sandra Torres ya gobernó muchá. ¿O se les olvida los 4 años que fue presidenta atrás de su ex esposo y titere, Alvaro Colom? 

#Hartxs #HartxsGuatemala#SandraTorres #EleccionesGuatemala2023 #Corruptos 
#Corrupcion #Guatemala #Voto #Voto2023 https://t.co/q1de99RMN8",sandra torres,0,1,2,0,272,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.9,False
2023-05-17,JAJAJAJAJAJAJAJAJAJA que la vieja puta de Sandra Torres es la mejor opción dice esta lameculos. https://t.co/BbheoMgl1Q,sandra torres,0,0,0,0,141,negativo,risa,desaprobación,humorístico,0.2,0.9,0.8,0.5,False
2023-05-17,"Qué bueno que Villacorta se pronunció a favor de la comunidad LGTBIQ+, pero porfis, que no se les olvide que se alió a la ex UNE después de que lo rechazaron en Nosotros porque prefirieron al yerno de Sandra Torres y es tan iluso y soberbio que pensó que lo dejarían gobernar.",sandra torres,16,21,129,5,16003,negativo,enojo,desaprobación,irónico,0.4,0.8,0.7,0.9,False
2023-05-17,Los nets de Sandra Torres son igual de mediocres que ella... https://t.co/cgFmUzxZN7 https://t.co/OWJy93x6pV,sandra torres,0,0,4,0,204,negativo,disgusto,desaprobación,agresivo,0.2,1.0,0.8,0.8,False
2023-05-17,"Candidata guatemalteca Sandra Torres dice que su rival, Pineda, es “aprendiz” de dictador
https://t.co/vKJfSRXDCU",sandra torres,0,0,2,0,107,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.7,0.9,False
2023-05-17,"Tuvieron que encarcelar a josé rubén zamora porque sabían que si lo dejaban libre iba a exponer a los principales candidatas de Giammattei, Sandra Torres y Zury Rios https://t.co/GdJTtLxhvh",sandra torres,0,0,0,0,37,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.8,False
2023-05-17,"¿Alguien tiene idea de por qué Sandra Torres envió a sus nets a comentar mi publicación?😂
¿O son estúpidos y no leen que el tweet evidencia lo corrupta que es? https://t.co/4Oemq3eDi4 https://t.co/De8e9iO8lL",sandra torres,1,1,15,0,1959,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.9,False
2023-05-17,URGENTE! BERNARDO AREVELO ARREMETE CONTRA SANDRA TORRES | GUATEMALA https://t.co/Mb7BChrIRz via @YouTube,sandra torres,0,0,0,0,40,negativo,enojo,desaprobación,agresivo,0.2,1.0,0.8,0.8,False
2023-05-17,"Perdió el Real Madrid, ya solo falta que pierda Zuri Ríos, Sandra Torres y Pineda 😎",sandra torres,0,0,1,0,167,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.7,0.8,False
2023-05-18,"Ningún ser pensante, en sus cinco sentidos y en su sano juicio, votaría por Sandra Torres.",sandra torres,0,0,4,0,176,negativo,enojo,desaprobación,agresivo,0.5,1.0,0.8,0.9,False
2023-05-18,"Repasando los candidatos a presidente con mis hijos de 8 y 4 años (Darío de casi 3, escuchando) ]

""A ver chicos y como se llama el partido de Edmond Mulet?""
Bruno y Mauro: ""CABAL!""

""OK, Y quien es el candidato de la UNE?""
Bruno y Mauro: ""Sandra Torres!""
🧵",sandra torres,0,1,4,0,763,neutro,otro,indiferencia,humorístico,0.8,0.9,0.2,0.8,False
2023-05-18,Creo que no es coincidencia que el emoji de la carita vomitando y el color del partido UNE sean el mismo 🤢 mil veces asco Sandra Torres https://t.co/x2SQ0ITGxN,sandra torres,0,0,1,0,60,negativo,disgusto,desaprobación,agresivo,0.2,0.9,0.7,0.8,False
2023-05-18,"Veeeerch! Cómo hablar de Merkel y Bachelet y de SANDRA TORRES 🙃🤦🏻‍♀️ naaambre, yo no quiero que ella sea la presi de Guate… 😭 pagar por esto 🫠 https://t.co/n87Csxieoa",sandra torres,0,0,1,0,204,negativo,enojo,desaprobación,irónico,0.2,0.8,0.7,0.6,False
2023-05-18,¿Y eso que? Como que si todos no conociéramos como es Sandra Torres 🤣 https://t.co/V83JK8Jr1a,sandra torres,0,0,0,0,399,negativo,disgusto,desaprobación,humorístico,0.8,1.0,0.4,0.6,False
2023-05-18,Sus verdades en su Cara a LA comunista de Sandra torres exelente vien don Ricardo Mendez ruiz https://t.co/E9PVRnIwRg,sandra torres,0,0,1,0,14,positivo,satisfacción,aprobación,asertivo,0.8,0.9,0.3,0.7,False
2023-05-18,La UNE pagándole a Badabun para que hablen bien de Sandra Torres si que da risa weee😂,sandra torres,0,0,0,0,89,negativo,disgusto,desaprobación,agresivo,0.2,0.9,0.8,0.7,False
2023-05-18,Cuánto pisto le habrán dado a esa tonta de badabun para que hablara maravillas de la Sandra Torres ?jajajajaj ptm,sandra torres,0,0,5,0,504,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.6,False
2023-05-18,"La tarántula ES MENTIROSA, ella es SOCIALISTA.

Sandra Torres es la prueba de que el SOCIALISMO Y el COMUNISMO SÍ EXISTEN.

NO HAY QUE VOTAR POR LA UNE, NO HAY QUE VOTAR POR LA UNE. https://t.co/YP4AOV5uR6",sandra torres,0,0,1,0,27,negativo,enojo,desaprobación,agresivo,0.2,0.9,0.8,0.9,False
2023-05-18,Badabun comparó a Sandra Torres con angela merkel 💀,sandra torres,0,0,3,0,378,neutro,otro,desaprobación,informativo,0.8,1.0,0.5,0.9,False
2023-05-19,"El medio de entretenimiento Badabun realizo un video que parece ser campaña publicitaria a favor de la candidata Sandra Torres del partido UNE, afirmando que la población estará votando por ella.
 https://t.co/08ncgh8lw3",sandra torres,3,8,2,0,815,negativo,enojo,desaprobación,informativo,0.5,1.0,0.8,0.9,False
2023-05-19,"Que bendición 😊 ya solo falta la de Sandra Torres, Zury Ríos, Sammy Morales https://t.co/Ed3P4kfFM0",sandra torres,0,1,1,0,107,positivo,felicidad,aprobación,humorístico,0.8,1.0,0.2,0.4,False
2023-05-19,Si mucha Carlos Pineda tampoco es buena opción pero lo que están haciendo es dejarle el camino libre a la corrupta de Zury Rios y Sandra Torres que las dos son lo peor que le puede pasar a guate.,sandra torres,0,1,3,0,285,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.8,0.9,False
2023-05-19,valientes aliados mediáticos tiene Sandra Torres. Badabun llegó a otro nivel de 💩💩 https://t.co/1oT3tNiLh8,sandra torres,0,0,0,0,31,neutro,otro,indiferencia,humorístico,0.8,1.0,0.2,0.4,False
2023-05-19,"Ptm, quechomierda es que los candidatos más fuertes para las elecciones sigan siendo Zury Rios y Sandra Torres. :(",sandra torres,0,1,1,0,197,negativo,tristeza,desaprobación,agresivo,0.2,0.9,0.7,0.8,False
2023-05-19,"No tenía pensado votar por Pineda, pero porque a Pineda lo suspenden y a Sandra Torres no?",sandra torres,0,1,0,0,77,negativo,enojo,desaprobación,escéptico,0.5,1.0,0.8,0.8,False
2023-05-19,"El Pacto quiere elecciones limpias. Por eso está ""limpiando"" el camino para Zury Ríos, Sandra Torres y Manuel Conde. https://t.co/d6fotjZ3Oq",sandra torres,5,7,15,0,1145,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.8,False
2023-05-19,EXACTAMENTE LAS MISMAS ILEGALIDADES DE prosperidad ciudadana y pineda TIENE LA ASAMBLEA de la une y sandra torres !!! EL REGISTRADOR DE CIUDADANOS DEBE SER INVESTIGADO POR MULTIPLES DELITOS DE PECULADO Y COHECHO !!! @MPguatemala !!!,sandra torres,55,10,137,1,6074,negativo,enojo,desaprobación,agresivo,0.2,0.8,0.9,0.9,False
2023-05-19,"Sandra Torres ni siquiera pudo pedir una presentadora decente, tiene el tipico tatuaje de prosti entre las tetas https://t.co/f3Ma0WNTSl",sandra torres,0,1,0,0,41,negativo,disgusto,desaprobación,agresivo,0.2,0.8,0.9,0.7,False
